"indicator","total_obs","missing_obs","completeness_rate"
"SPI.D5.5.DIFI",4340,3047,29.8
"SPI.DIM5.5.INDEX",4340,3047,29.8
"SPI.D5.1.DILG",4340,2975,31.5
"SPI.DIM5.1.INDEX",4340,2975,31.5
"SPI.INDEX",4340,2915,32.8
"SPI.INDEX.PIL2",4340,2904,33.1
"SPI.DIM5.2.INDEX",4340,2821,35
"SPI.INDEX.PIL5",4340,2821,35
"SPI.D2.4.NADA",4340,2815,35.1
"SPI.DIM2.4.INDEX",4340,2815,35.1
"SPI.D5.2.7.CGOV",4340,2809,35.3
"SPI.D5.2.9.MONY",4340,2808,35.3
"SPI.INDEX.PIL4",4340,2780,35.9
"SPI.D2.2.Download.options",4340,2737,36.9
"SPI.D2.2.Machine.readable",4340,2737,36.9
"SPI.D2.2.Metadata.available",4340,2737,36.9
"SPI.D2.2.Non.proprietary",4340,2737,36.9
"SPI.D2.2.Openness.subscore",4340,2737,36.9
"SPI.D2.2.Terms.of.use",4340,2737,36.9
"SPI.D4.3.GEO.first.admin.level",4340,2737,36.9
"SPI.DIM2.2.INDEX",4340,2737,36.9
"SPI.DIM4.3.INDEX",4340,2737,36.9
"SPI.D5.2.1.SNAU",4340,2611,39.8
"SPI.D5.2.2.NABY",4340,2611,39.8
"SPI.D5.2.4.CPIBY",4340,2610,39.9
"SPI.D5.2.10.GSBP",4340,2396,44.8
"SPI.D5.2.3.CNIN",4340,2396,44.8
"SPI.D5.2.6.EMPL",4340,2396,44.8
"SPI.D5.2.8.FINA",4340,2396,44.8
"SPI.D5.2.5.HOUS",4340,2390,44.9
"SPI.D2.1.GDDS",4340,2191,49.5
"SPI.DIM2.1.INDEX",4340,2191,49.5
"SPI.D4.1.2.AGRI",4340,540,87.6
"SPI.D4.1.3.BIZZ",4340,540,87.6
"SPI.D4.1.4.HOUS",4340,540,87.6
"SPI.D4.1.5.AGSVY",4340,540,87.6
"SPI.D4.1.8.BZSVY",4340,540,87.6
"SPI.DIM4.1.CEN.INDEX",4340,540,87.6
"SPI.DIM4.1.SVY.INDEX",4340,540,87.6
"SPI.D4.1.1.POPU",4340,500,88.5
"SPI.D4.1.7.HLTH",4340,440,89.9
"SPI.D4.1.6.LABR",4340,420,90.3
"SPI.D3.13.CLMT",4340,255,94.1
"SPI.DIM3.3.INDEX",4340,255,94.1
"SPI.INDEX.PIL3",4340,255,94.1
"SPI.D3.1.POV",4340,40,99.1
"SPI.D3.10.NEQL",4340,40,99.1
"SPI.D3.11.CITY",4340,40,99.1
"SPI.D3.12.CNSP",4340,40,99.1
"SPI.D3.15.LAND",4340,40,99.1
"SPI.D3.16.INST",4340,40,99.1
"SPI.D3.17.PTNS",4340,40,99.1
"SPI.D3.2.HNGR",4340,40,99.1
"SPI.D3.3.HLTH",4340,40,99.1
"SPI.D3.4.EDUC",4340,40,99.1
"SPI.D3.5.GEND",4340,40,99.1
"SPI.D3.6.WTRS",4340,40,99.1
"SPI.D3.7.ENRG",4340,40,99.1
"SPI.D3.8.WORK",4340,40,99.1
"SPI.D3.9.INDY",4340,40,99.1
"SPI.DIM3.1.INDEX",4340,40,99.1
"SPI.DIM3.2.INDEX",4340,40,99.1
"SPI.DIM3.4.INDEX",4340,40,99.1
"SPI.D1.5.CHLD.MORT",4340,0,100
"SPI.D1.5.DT.TDS.DPPF.XP.ZS",4340,0,100
"SPI.D1.5.LFP",4340,0,100
"SPI.D1.5.POV",4340,0,100
"SPI.D1.5.SAFE.MAN.WATER",4340,0,100
"SPI.D4.2.3.CRVS",4340,0,100
"SPI.DIM1.5.INDEX",4340,0,100
"SPI.DIM4.2.INDEX",4340,0,100
"SPI.INDEX.PIL1",4340,0,100
