"indicator","country","iso3c","missing_years","nb_missing_years"
"SPI.D2.1.GDDS","Afghanistan","AFG","2004-2015",12
"SPI.D2.1.GDDS","Albania","ALB","2004-2015",12
"SPI.D2.1.GDDS","Algeria","DZA","2004-2015",12
"SPI.D2.1.GDDS","American Samoa","ASM","2004-2015",12
"SPI.D2.1.GDDS","Andorra","AND","2004-2016",13
"SPI.D2.1.GDDS","Angola","AGO","2004-2015",12
"SPI.D2.1.GDDS","Antigua and Barbuda","ATG","2004-2015",12
"SPI.D2.1.GDDS","Argentina","ARG","2004-2015",12
"SPI.D2.1.GDDS","Armenia","ARM","2004-2015",12
"SPI.D2.1.GDDS","Aruba","ABW","2004-2015",12
"SPI.D2.1.GDDS","Azerbaijan","AZE","2004-2015",12
"SPI.D2.1.GDDS","Bahamas, The","BHS","2004-2015",12
"SPI.D2.1.GDDS","Bahrain","BHR","2004-2015",12
"SPI.D2.1.GDDS","Bangladesh","BGD","2004-2015",12
"SPI.D2.1.GDDS","Barbados","BRB","2004-2015",12
"SPI.D2.1.GDDS","Belarus","BLR","2004-2015",12
"SPI.D2.1.GDDS","Belize","BLZ","2004-2015",12
"SPI.D2.1.GDDS","Benin","BEN","2004-2015",12
"SPI.D2.1.GDDS","Bermuda","BMU","2004-2015",12
"SPI.D2.1.GDDS","Bhutan","BTN","2004-2015",12
"SPI.D2.1.GDDS","Bolivia","BOL","2004-2015",12
"SPI.D2.1.GDDS","Bosnia and Herzegovina","BIH","2004-2015",12
"SPI.D2.1.GDDS","Botswana","BWA","2004-2015",12
"SPI.D2.1.GDDS","Brazil","BRA","2004-2015",12
"SPI.D2.1.GDDS","British Virgin Islands","VGB","2004-2015",12
"SPI.D2.1.GDDS","Brunei Darussalam","BRN","2004-2015",12
"SPI.D2.1.GDDS","Bulgaria","BGR","2004-2015",12
"SPI.D2.1.GDDS","Burkina Faso","BFA","2004-2015",12
"SPI.D2.1.GDDS","Burundi","BDI","2004-2015",12
"SPI.D2.1.GDDS","Cabo Verde","CPV","2004-2015",12
"SPI.D2.1.GDDS","Cambodia","KHM","2004-2015",12
"SPI.D2.1.GDDS","Cameroon","CMR","2004-2015",12
"SPI.D2.1.GDDS","Cayman Islands","CYM","2004-2015",12
"SPI.D2.1.GDDS","Central African Republic","CAF","2004-2015",12
"SPI.D2.1.GDDS","Chad","TCD","2004-2015",12
"SPI.D2.1.GDDS","Channel Islands","CHI","2004-2015",12
"SPI.D2.1.GDDS","China","CHN","2004-2015",12
"SPI.D2.1.GDDS","Colombia","COL","2004-2015",12
"SPI.D2.1.GDDS","Comoros","COM","2004-2015",12
"SPI.D2.1.GDDS","Congo, Dem. Rep.","COD","2004-2016",13
"SPI.D2.1.GDDS","Congo, Rep.","COG","2004-2015",12
"SPI.D2.1.GDDS","Costa Rica","CRI","2004-2015",12
"SPI.D2.1.GDDS","Cote d'Ivoire","CIV","2004-2015",12
"SPI.D2.1.GDDS","Croatia","HRV","2004-2015",12
"SPI.D2.1.GDDS","Cuba","CUB","2004-2015",12
"SPI.D2.1.GDDS","Curacao","CUW","2004-2015",12
"SPI.D2.1.GDDS","Cyprus","CYP","2004-2015",12
"SPI.D2.1.GDDS","Djibouti","DJI","2004-2015",12
"SPI.D2.1.GDDS","Dominica","DMA","2004-2015",12
"SPI.D2.1.GDDS","Dominican Republic","DOM","2004-2015",12
"SPI.D2.1.GDDS","Ecuador","ECU","2004-2015",12
"SPI.D2.1.GDDS","Egypt, Arab Rep.","EGY","2004-2015",12
"SPI.D2.1.GDDS","El Salvador","SLV","2004-2015",12
"SPI.D2.1.GDDS","Equatorial Guinea","GNQ","2004-2015",12
"SPI.D2.1.GDDS","Eritrea","ERI","2004-2015",12
"SPI.D2.1.GDDS","Eswatini","SWZ","2004-2015",12
"SPI.D2.1.GDDS","Ethiopia","ETH","2004-2015",12
"SPI.D2.1.GDDS","Faroe Islands","FRO","2004-2015",12
"SPI.D2.1.GDDS","Fiji","FJI","2004-2015",12
"SPI.D2.1.GDDS","French Polynesia","PYF","2004-2015",12
"SPI.D2.1.GDDS","Gabon","GAB","2004-2015",12
"SPI.D2.1.GDDS","Gambia, The","GMB","2004-2015",12
"SPI.D2.1.GDDS","Georgia","GEO","2004-2015",12
"SPI.D2.1.GDDS","Ghana","GHA","2004-2015",12
"SPI.D2.1.GDDS","Gibraltar","GIB","2004-2015",12
"SPI.D2.1.GDDS","Greenland","GRL","2004-2015",12
"SPI.D2.1.GDDS","Grenada","GRD","2004-2015",12
"SPI.D2.1.GDDS","Guam","GUM","2004-2015",12
"SPI.D2.1.GDDS","Guatemala","GTM","2004-2015",12
"SPI.D2.1.GDDS","Guinea","GIN","2004-2015",12
"SPI.D2.1.GDDS","Guinea-Bissau","GNB","2004-2015",12
"SPI.D2.1.GDDS","Guyana","GUY","2004-2015",12
"SPI.D2.1.GDDS","Haiti","HTI","2004-2015",12
"SPI.D2.1.GDDS","Honduras","HND","2004-2015",12
"SPI.D2.1.GDDS","Hong Kong SAR, China","HKG","2004-2015",12
"SPI.D2.1.GDDS","India","IND","2004-2015",12
"SPI.D2.1.GDDS","Indonesia","IDN","2004-2015",12
"SPI.D2.1.GDDS","Iran, Islamic Rep.","IRN","2004-2015",12
"SPI.D2.1.GDDS","Iraq","IRQ","2004-2015",12
"SPI.D2.1.GDDS","Isle of Man","IMN","2004-2016",13
"SPI.D2.1.GDDS","Jamaica","JAM","2004-2015",12
"SPI.D2.1.GDDS","Jordan","JOR","2004-2015",12
"SPI.D2.1.GDDS","Kazakhstan","KAZ","2004-2015",12
"SPI.D2.1.GDDS","Kenya","KEN","2004-2015",12
"SPI.D2.1.GDDS","Kiribati","KIR","2004-2015",12
"SPI.D2.1.GDDS","Korea, Dem. People's Rep.","PRK","2004-2015",12
"SPI.D2.1.GDDS","Kosovo","XKX","2004-2016",13
"SPI.D2.1.GDDS","Kuwait","KWT","2004-2015",12
"SPI.D2.1.GDDS","Kyrgyz Republic","KGZ","2004-2015",12
"SPI.D2.1.GDDS","Lao PDR","LAO","2004-2015",12
"SPI.D2.1.GDDS","Lebanon","LBN","2004-2015",12
"SPI.D2.1.GDDS","Lesotho","LSO","2004-2015",12
"SPI.D2.1.GDDS","Liberia","LBR","2004-2015",12
"SPI.D2.1.GDDS","Libya","LBY","2004-2015",12
"SPI.D2.1.GDDS","Liechtenstein","LIE","2004-2015",12
"SPI.D2.1.GDDS","Macao SAR, China","MAC","2004-2015",12
"SPI.D2.1.GDDS","Madagascar","MDG","2004-2015",12
"SPI.D2.1.GDDS","Malawi","MWI","2004-2015",12
"SPI.D2.1.GDDS","Malaysia","MYS","2004-2015",12
"SPI.D2.1.GDDS","Maldives","MDV","2004-2015",12
"SPI.D2.1.GDDS","Mali","MLI","2004-2015",12
"SPI.D2.1.GDDS","Malta","MLT","2004-2015",12
"SPI.D2.1.GDDS","Marshall Islands","MHL","2004-2015",12
"SPI.D2.1.GDDS","Mauritania","MRT","2004-2015",12
"SPI.D2.1.GDDS","Mauritius","MUS","2004-2015",12
"SPI.D2.1.GDDS","Mexico","MEX","2004-2015",12
"SPI.D2.1.GDDS","Micronesia, Fed. Sts.","FSM","2004-2015",12
"SPI.D2.1.GDDS","Moldova","MDA","2004-2015",12
"SPI.D2.1.GDDS","Monaco","MCO","2004-2015",12
