"indicator","name","category"
"SPI.D1.5.CHLD.MORT","Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)","Pillar 1: Data Use"
"SPI.D1.5.DT.TDS.DPPF.XP.ZS","Quality of Debt service data according to World Bank","Pillar 1: Data Use"
"SPI.D1.5.LFP","Labor force participation rate by sex and age (%)","Pillar 1: Data Use"
"SPI.D1.5.POV","Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average)","Pillar 1: Data Use"
"SPI.D1.5.SAFE.MAN.WATER","Safely Managed Drinking Water","Pillar 1: Data Use"
"SPI.D2.1.GDDS","SDDS/e-GDDS subscription","Pillar 2: Data Services"
"SPI.D2.2.Download.options","Dimension 2.2: Online access - Download Options Score","Pillar 2: Data Services"
"SPI.D2.2.Machine.readable","Dimension 2.2: Online access - Machine Readability Score","Pillar 2: Data Services"
"SPI.D2.2.Metadata.available","Dimension 2.2: Online access - Metadata Available Score","Pillar 2: Data Services"
"SPI.D2.2.Non.proprietary","Dimension 2.2: Online access - Non-Proprietary format Score","Pillar 2: Data Services"
"SPI.D2.2.Openness.subscore","ODIN Open Data Openness score","Pillar 2: Data Services"
"SPI.D2.2.Terms.of.use","Dimension 2.2: Online access - Terms of Use Score","Pillar 2: Data Services"
"SPI.D2.4.NADA","NADA metadata","Pillar 2: Data Services"
"SPI.D3.1.POV","GOAL 1: No Poverty (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.10.NEQL","GOAL 10: Reduced Inequality (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.11.CITY","GOAL 11: Sustainable Cities and Communities (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.12.CNSP","GOAL 12: Responsible Consumption and Production (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.13.CLMT","GOAL 13: Climate Action (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.15.LAND","GOAL 15: Life on Land (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.16.INST","GOAL 16: Peace and Justice Strong Institutions (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.17.PTNS","GOAL 17: Partnerships to achieve the Goal (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.2.HNGR","GOAL 2: Zero Hunger (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.3.HLTH","GOAL 3: Good Health and Well-being (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.4.EDUC","GOAL 4: Quality Education (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.5.GEND","GOAL 5: Gender Equality (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.6.WTRS","GOAL 6: Clean Water and Sanitation (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.7.ENRG","GOAL 7: Affordable and Clean Energy (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.8.WORK","GOAL 8: Decent Work and Economic Growth (5 year moving average)","Pillar 3: Data Products"
"SPI.D3.9.INDY","GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)","Pillar 3: Data Products"
"SPI.D4.1.1.POPU","Population & Housing census (Availability score over 20 years)","Pillar 4: Data Sources"
"SPI.D4.1.2.AGRI","Agriculture census (Availability score over 20 years)","Pillar 4: Data Sources"
"SPI.D4.1.3.BIZZ","Business/establishment census (Availability score over 20 years)","Pillar 4: Data Sources"
"SPI.D4.1.4.HOUS","Household Survey on income, etc  (Availability score over 10 years)","Pillar 4: Data Sources"
"SPI.D4.1.5.AGSVY","Agriculture survey (Availability score over 10 years)","Pillar 4: Data Sources"
"SPI.D4.1.6.LABR","Labor Force Survey (Availability score over 10 years)","Pillar 4: Data Sources"
"SPI.D4.1.7.HLTH","Health/Demographic survey (Availability score over 10 years)","Pillar 4: Data Sources"
"SPI.D4.1.8.BZSVY","Business/establishment survey (Availability score over 10 years)","Pillar 4: Data Sources"
"SPI.D4.2.3.CRVS","CRVS (WDI)","Pillar 4: Data Sources"
"SPI.D4.3.GEO.first.admin.level","Geospatial data available at 1st Admin Level","Pillar 4: Data Sources"
"SPI.D5.1.DILG","Legislation Indicator based on PARIS21 indicators on SDG 17.18.2","Pillar 5: Data Infrastructure"
"SPI.D5.2.1.SNAU","System of national accounts in use","Pillar 5: Data Infrastructure"
"SPI.D5.2.10.GSBP","Business process","Pillar 5: Data Infrastructure"
"SPI.D5.2.2.NABY","National Accounts base year","Pillar 5: Data Infrastructure"
"SPI.D5.2.3.CNIN","Classification of national industry","Pillar 5: Data Infrastructure"
"SPI.D5.2.4.CPIBY","CPI base year","Pillar 5: Data Infrastructure"
"SPI.D5.2.5.HOUS","Classification of household consumption","Pillar 5: Data Infrastructure"
"SPI.D5.2.6.EMPL","Classification of status of employment","Pillar 5: Data Infrastructure"
"SPI.D5.2.7.CGOV","Central government accounting status","Pillar 5: Data Infrastructure"
"SPI.D5.2.8.FINA","Compilation of government finance statistics","Pillar 5: Data Infrastructure"
"SPI.D5.2.9.MONY","Compilation of monetary and financial statistics","Pillar 5: Data Infrastructure"
"SPI.D5.5.DIFI","Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1","Pillar 5: Data Infrastructure"
"SPI.DIM1.5.INDEX","Dimension 1.5: Data use by international organizations","Pillar 1: Data Use"
"SPI.DIM2.1.INDEX","Dimension 2.1: Data Releases","Pillar 2: Data Services"
"SPI.DIM2.2.INDEX","Dimension 2.2: Online access","Pillar 2: Data Services"
"SPI.DIM2.4.INDEX","Dimension 2.4: Data services","Pillar 2: Data Services"
"SPI.DIM3.1.INDEX","Dimension 3.1: Social Statistics","Pillar 3: Data Products"
"SPI.DIM3.2.INDEX","Dimension 3.2: Economic Statistics","Pillar 3: Data Products"
"SPI.DIM3.3.INDEX","Dimension 3.3: Environmental Statistics","Pillar 3: Data Products"
