"country","iso3c","total_obs","missing_obs","completeness_rate"
"Liechtenstein","LIE",3179,2889,9.1
"Somalia","SOM",3179,2438,23.3
"Libya","LBY",3179,2144,32.6
"Chittagong","BGD",3179,2083,34.5
"Kano","NGA",3179,2079,34.6
"Los Angeles","USA",3179,2080,34.6
"Nigeria","NGA",3179,2080,34.6
"Beijing","CHN",3179,2075,34.7
"Delhi","IND",3179,2075,34.7
"Lahore","PAK",3179,2075,34.7
"Rio de Janeiro","BRA",3179,2075,34.7
"South Sudan","SSD",3179,2076,34.7
"Bangladesh","BGD",3179,2073,34.8
"United States","USA",3179,2070,34.9
"Brazil","BRA",3179,2065,35
"China","CHN",3179,2065,35
"India","IND",3179,2065,35
"Monterrey","MEX",3179,2065,35
"Osaka","JPN",3179,2065,35
"Pakistan","PAK",3179,2065,35
"St. Petersburg","RUS",3179,2065,35
"Surabaya","IDN",3179,2065,35
"Indonesia","IDN",3179,2055,35.4
"Japan","JPN",3179,2055,35.4
"Mexico","MEX",3179,2055,35.4
"Russian Federation","RUS",3179,2055,35.4
"Myanmar","MMR",3179,1996,37.2
"San Marino","SMR",3179,1989,37.4
"Barbados","BRB",3179,1893,40.5
"Malta","MLT",3179,1893,40.5
"Kosovo","XKX",3179,1743,45.2
"Eritrea","ERI",3179,1685,47
"Cyprus","CYP",3179,1674,47.3
"Bahamas, The","BHS",3179,1642,48.3
"Bahrain","BHR",3179,1645,48.3
"Qatar","QAT",3179,1645,48.3
"Timor-Leste","TLS",3179,1581,50.3
"Liberia","LBR",3179,1562,50.9
"Yemen, Rep.","YEM",3179,1560,50.9
"Brunei Darussalam","BRN",3179,1551,51.2
"Montenegro","MNE",3179,1545,51.4
"Micronesia, Fed. Sts.","FSM",3179,1540,51.6
"Comoros","COM",3179,1534,51.7
"Equatorial Guinea","GNQ",3179,1534,51.7
"Luxembourg","LUX",3179,1536,51.7
"Marshall Islands","MHL",3179,1530,51.9
"Guinea-Bissau","GNB",3179,1526,52
"St. Kitts and Nevis","KNA",3179,1522,52.1
