"indicator","total_obs","missing_obs","completeness_rate"
"ENF.CONT.COEN.RK.DB19",3621,3431,5.2
"TRD.ACRS.BRDR.RK.DB19",3621,3431,5.2
"IC.CNST.PRMT.RK",3621,3431,5.2
"IC.CRED.ACC.CRD.RK",3621,3431,5.2
"IC.ELC.ACES.RK.DB19",3621,3431,5.2
"IC.REG.PRRT.REG.RK.DB19",3621,3431,5.2
"IC.REG.STRT.BUS.RK.DB19",3621,3431,5.2
"PAY.TAX.RK.DB19",3621,3431,5.2
"PROT.MINOR.INV.IC.PRIN.MINOR.RK",3621,3431,5.2
"RESLV.ISV.RK.DB19",3621,3431,5.2
"IC.BUS.EASE.DFRN.DB16",3621,3199,11.7
"PAY.TAX.VAT.REF.OBT.WKS.TM.DB1719",3621,3035,16.2
"PAY.TAX.VAT.REFU.COMP.HRS.TM.DB1719",3621,3035,16.2
"PAY.TAX.VAT.REFU.COMP.HRS.TM.DB1719.DFRN",3621,2728,24.7
"IC.ELC.SAID.XD.DB1619",3621,2696,25.5
"IC.ELC.SAIF.XD.DB1619",3621,2698,25.5
"IC.BUS.EASE.DFRN.DB1014",3621,2670,26.3
"IC.ELC.OUTG.MN.DB1619",3621,2642,27
"PAY.TAX.COIT.AU.HRS.DB1719",3621,2609,27.9
"PAY.TAX.COIT.AU.WKS.DB1719",3621,2609,27.9
"PAY.TAX.COIT.AU.HRS.TM.DB1719.DFRN",3621,2604,28.1
"PAY.TAX.COIT.WKS.TM.DB1719.DFRN",3621,2604,28.1
"PAY.TAX.POST.FIL.XD.0100.DB1719.DFRN",3621,2595,28.3
"IC.REG.PRRT.EQACCS.XD.08.DB1619",3621,2579,28.8
"IC.REG.PRRT.GEO.COVR.XD.08.DB1619",3621,2579,28.8
"IC.REG.PRRT.LAND.DISP.XD.08.DB1619",3621,2579,28.8
"IC.REG.PRRT.QUAL.LNDADM.XD.030.DB16",3621,2579,28.8
"IC.REG.PRRT.RELI.INFR.XD.09.DB1619",3621,2579,28.8
"IC.REG.PRRT.TRAP.INFO.XD.06.DB1619",3621,2579,28.8
"ENF.CONT.COEN.ATDR",3621,2559,29.3
"ENF.CONT.COEN.CSMG",3621,2559,29.3
"ENF.CONT.COEN.CTAU",3621,2559,29.3
"ENF.CONT.COEN.CTSP.DB1719",3621,2559,29.3
"ENF.CONT.COEN.DB1719.DFRN",3621,2559,29.3
"ENF.CONT.COEN.QUJP.DB16.DFRN",3621,2559,29.3
"ENF.CONT.COEN.QUJP.XD",3621,2559,29.3
"IC.BUS.EASE.DFRN.XQ.DB1719",3621,2559,29.3
"IC.REG.PRRT.DFRN.DB1719",3621,2559,29.3
"IC.REG.PRRT.QUAL.LNDADM.XD.030.DB16.DFRN",3621,2559,29.3
"PAY.TAX.DB1719.DRFN",3621,2559,29.3
"IC.ELC.ACES.DFRN.DB1015",3621,2459,32.1
"IC.CNST.LIR.XD.02.DB1619",3621,2376,34.4
"IC.CNST.PC.XD.04.DB1619",3621,2376,34.4
"IC.CNST.PRMT.QBR.XD.02.DB1619",3621,2376,34.4
"IC.CNST.PRMT.QCAC.XD.DB1619",3621,2376,34.4
