"indicator","country","iso3c","missing_years","nb_missing_years"
"ENF.CONT.COEN.ATDR","Afghanistan","AFG","2003-2014",12
"ENF.CONT.COEN.ATDR","Albania","ALB","2003-2014",12
"ENF.CONT.COEN.ATDR","Algeria","DZA","2003-2014",12
"ENF.CONT.COEN.ATDR","Angola","AGO","2003-2014",12
"ENF.CONT.COEN.ATDR","Antigua and Barbuda","ATG","2003-2014",12
"ENF.CONT.COEN.ATDR","Argentina","ARG","2003-2014",12
"ENF.CONT.COEN.ATDR","Armenia","ARM","2003-2014",12
"ENF.CONT.COEN.ATDR","Australia","AUS","2003-2014",12
"ENF.CONT.COEN.ATDR","Austria","AUT","2003-2014",12
"ENF.CONT.COEN.ATDR","Azerbaijan","AZE","2003-2014",12
"ENF.CONT.COEN.ATDR","Bahamas, The","BHS","2003-2014",12
"ENF.CONT.COEN.ATDR","Bahrain","BHR","2003-2014",12
"ENF.CONT.COEN.ATDR","Bangladesh","BGD","2003-2014",12
"ENF.CONT.COEN.ATDR","Barbados","BRB","2003-2014",12
"ENF.CONT.COEN.ATDR","Beijing","CHN","2003-2014",12
"ENF.CONT.COEN.ATDR","Belarus","BLR","2003-2014",12
"ENF.CONT.COEN.ATDR","Belgium","BEL","2003-2014",12
"ENF.CONT.COEN.ATDR","Belize","BLZ","2003-2014",12
"ENF.CONT.COEN.ATDR","Benin","BEN","2003-2014",12
"ENF.CONT.COEN.ATDR","Bhutan","BTN","2003-2014",12
"ENF.CONT.COEN.ATDR","Bolivia","BOL","2003-2014",12
"ENF.CONT.COEN.ATDR","Bosnia and Herzegovina","BIH","2003-2014",12
"ENF.CONT.COEN.ATDR","Botswana","BWA","2003-2014",12
"ENF.CONT.COEN.ATDR","Brazil","BRA","2003-2014",12
"ENF.CONT.COEN.ATDR","Brunei Darussalam","BRN","2003-2014",12
"ENF.CONT.COEN.ATDR","Bulgaria","BGR","2003-2014",12
"ENF.CONT.COEN.ATDR","Burkina Faso","BFA","2003-2014",12
"ENF.CONT.COEN.ATDR","Burundi","BDI","2003-2014",12
"ENF.CONT.COEN.ATDR","Cabo Verde","CPV","2003-2014",12
"ENF.CONT.COEN.ATDR","Cambodia","KHM","2003-2014",12
"ENF.CONT.COEN.ATDR","Cameroon","CMR","2003-2014",12
"ENF.CONT.COEN.ATDR","Canada","CAN","2003-2014",12
