"country","iso3c","total_obs","missing_obs","completeness_rate"
"Anguilla","",519486,519248,0
"Channel Islands","CHI",519486,519480,0
"Faroe Islands","FRO",519486,519426,0
"Isle of Man","IMN",519486,519480,0
"Lending category not classified","",519486,519480,0
"Mayotte","",519486,519486,0
"Northern Mariana Islands","MNP",519486,519480,0
"St. Martin (French part)","MAF",519486,519486,0
"Greenland","GRL",519486,519204,0.1
"Guam","GUM",519486,518914,0.1
"American Samoa","ASM",519486,518393,0.2
"Curacao","CUW",519486,518518,0.2
"Kosovo","XKX",519486,518643,0.2
"Sint Maarten (Dutch part)","SXM",519486,518227,0.2
"Virgin Islands (U.S.)","VIR",519486,518520,0.2
"Tokelau","",519486,517313,0.4
"French Polynesia","PYF",519486,517035,0.5
"New Caledonia","NCL",519486,517053,0.5
"Niue","",519486,516740,0.5
"Monaco","MCO",519486,516257,0.6
"South Sudan","SSD",519486,516528,0.6
"Cook Islands","",519486,515595,0.7
"Montserrat","",519486,515277,0.8
"Tuvalu","TUV",519486,515458,0.8
"Gibraltar","GIB",519486,514965,0.9
"Nauru","NRU",519486,515013,0.9
"Palau","PLW",519486,514655,0.9
"Netherlands Antilles","",519486,514388,1
"Turks and Caicos Islands","TCA",519486,514437,1
"Marshall Islands","MHL",519486,513802,1.1
"Puerto Rico","PRI",519486,513626,1.1
"San Marino","SMR",519486,513596,1.1
"Antigua and Barbuda","ATG",519486,513144,1.2
"Bermuda","BMU",519486,513275,1.2
"Andorra","AND",519486,512057,1.4
"British Virgin Islands","VGB",519486,512465,1.4
"IDA & IBRD total","IBT",519486,511986,1.4
"IDA total","IDA",519486,512326,1.4
"North America","NAC",519486,512106,1.4
"Cayman Islands","CYM",519486,511689,1.5
"Europe & Central Asia (excluding high income)","ECA",519486,511565,1.5
"IDA blend","IDB",519486,511535,1.5
"Kiribati","KIR",519486,511692,1.5
"Korea, Dem. People's Rep.","PRK",519486,511920,1.5
"Liechtenstein","LIE",519486,511949,1.5
"Micronesia, Fed. Sts.","FSM",519486,511920,1.5
"Pacific island small states","PSS",519486,511800,1.5
"Europe & Central Asia (IDA & IBRD countries)","TEC",519486,511334,1.6
"Fragile and conflict affected situations","",519486,510959,1.6
"High income","",519486,511068,1.6
"Low income","",519486,511028,1.6
"Post-demographic dividend","PST",519486,511238,1.6
"Pre-demographic dividend","PRE",519486,510939,1.6
"Caribbean small states","CSS",519486,510448,1.7
"East Asia & Pacific","EAS",519486,510657,1.7
"East Asia & Pacific (IDA & IBRD countries)","TEA",519486,510805,1.7
"East Asia & Pacific (excluding high income)","EAP",519486,510770,1.7
"Euro area","EMU",519486,510851,1.7
"Europe & Central Asia","ECS",519486,510746,1.7
"European Union","EUU",519486,510836,1.7
