"indicator","total_obs","missing_obs","completeness_rate"
"PER.JR.RCT.TOT",17952,17944,0
"PER.JR.SAL",17952,17950,0
"PER.JR.SAL.GDP",17952,17951,0
"PER.JR.SAL.RCT",17952,17951,0
"PER.JR.SAL.SHARE.RCT",17952,17949,0
"PER.JR.SAL.TOT",17952,17952,0
"PER.JR.SAL.USD",17952,17949,0
"PER.JR.SOR.GOV",17952,17952,0
"PER.JR.TCH.HRS",17952,17950,0
"PER.JR.TEACH.SHARE",17952,17949,0
"PER.JR.TNR",17952,17950,0
"PER.JR.TOTEXP",17952,17947,0
"PER.JR.TRANSFER.PS",17952,17951,0
"PER.JR.TRANSFER.RCT",17952,17949,0
"PER.OC.AD.SAL.SHARE",17952,17946,0
"PER.OC.FEED.GDP",17952,17951,0
"PER.OC.FEED.RCT",17952,17952,0
"PER.OC.FIN.JR",17952,17950,0
"PER.OC.FIN.LOAN.TER",17952,17951,0
"PER.OC.FIN.PRM",17952,17949,0
"PER.OC.FIN.RCT",17952,17946,0
"PER.OC.FIN.SEC",17952,17951,0
"PER.OC.FIN.SR",17952,17950,0
"PER.OC.FIN.TER",17952,17947,0
"PER.OC.FIN.TER.TOT",17952,17944,0
"PER.OC.FIN.TOT.PRM",17952,17951,0
"PER.OC.FIN.TOT.Q1",17952,17948,0
"PER.OC.FIN.TOT.Q2",17952,17948,0
"PER.OC.FIN.TOT.Q3",17952,17948,0
"PER.OC.FIN.TOT.Q4",17952,17948,0
"PER.OC.FIN.TOT.Q5",17952,17948,0
"PER.OC.FIN.TOT.SEC",17952,17947,0
"PER.OC.FIN.TOT.SR",17952,17951,0
"PER.OC.FIN.TOT.VOC",17952,17951,0
"PER.OC.FIN.VOC.TOT",17952,17951,0
"PER.OC.GDR.PRM",17952,17950,0
"PER.OC.GDR.SEC",17952,17950,0
"PER.OC.GDR.TER",17952,17951,0
"PER.OC.GDR.TOT",17952,17948,0
"PER.OC.GEO.RRL",17952,17949,0
"PER.OC.GEO.RRL.JR",17952,17951,0
"PER.OC.GEO.RRL.P40",17952,17951,0
"PER.OC.GEO.RRL.PCT",17952,17944,0
"PER.OC.GEO.RRL.PP",17952,17951,0
"PER.OC.GEO.RRL.PPC",17952,17944,0
"PER.OC.GEO.RRL.PRM",17952,17950,0
"PER.OC.GEO.RRL.PRM.PER",17952,17948,0
"PER.OC.GEO.RRL.PSTF",17952,17952,0
"PER.OC.GEO.RRL.R40",17952,17951,0
"PER.OC.GEO.RRL.SEC",17952,17951,0
"PER.OC.GEO.RRL.SEC.PS",17952,17951,0
"PER.OC.GEO.RRL.SR",17952,17951,0
"PER.OC.GEO.RRL.TER",17952,17951,0
"PER.OC.GEO.RRL.TNR",17952,17951,0
"PER.OC.GEO.RU.PRM",17952,17950,0
"PER.OC.GEO.RU.SEC",17952,17949,0
"PER.OC.GEO.URB",17952,17949,0
"PER.OC.GEO.URB.JR",17952,17951,0
"PER.OC.GEO.URB.P40",17952,17951,0
"PER.OC.GEO.URB.PCR",17952,17944,0
"PER.OC.GEO.URB.PP",17952,17951,0
"PER.OC.GEO.URB.PPC",17952,17944,0
"PER.OC.GEO.URB.PRM",17952,17950,0
"PER.OC.GEO.URB.PRM.PER",17952,17948,0
"PER.OC.GEO.URB.PSTF",17952,17952,0
"PER.OC.GEO.URB.R40",17952,17951,0
"PER.OC.GEO.URB.SEC",17952,17951,0
"PER.OC.GEO.URB.SEC.PS",17952,17951,0
"PER.OC.GEO.URB.SR",17952,17951,0
"PER.OC.GEO.URB.TER",17952,17951,0
"PER.OC.GEO.URB.TNR",17952,17951,0
"PER.OC.GOV.PRIV",17952,17949,0
"PER.OC.HIV.ABS",17952,17950,0
"PER.OC.HIV.OVC.ENR",17952,17951,0
"PER.OC.HIV.OVC.PRM",17952,17951,0
"PER.OC.HIV.OVC.SEC",17952,17951,0
"PER.OC.HIV.OVC.TOT",17952,17951,0
"PER.OC.HIV.SHARE",17952,17949,0
"PER.OC.HIV.TOT",17952,17951,0
"PER.OC.HIV.TT",17952,17950,0
"PER.OC.HIV.USD",17952,17950,0
"PER.OC.MAIN.RCT",17952,17945,0
"PER.OC.PTXT",17952,17946,0
"PER.OC.TLM.RCT",17952,17949,0
"PER.OC.TRA.BAS",17952,17947,0
"PER.OC.TRA.OVERALL",17952,17948,0
"PER.OC.TRA.PP",17952,17947,0
"PER.OC.TRA.PRM",17952,17949,0
"PER.OC.TRA.SEC",17952,17951,0
"PER.OC.TRA.TER",17952,17951,0
"PER.OC.TT.PRM",17952,17947,0
"PER.OC.TXT.RCT",17952,17944,0
"PER.OC.TXT.TOT",17952,17947,0
"PER.OC.UTL.RCT",17952,17946,0
"PER.PP.ADMIN",17952,17952,0
"PER.PP.CAP.SHARE",17952,17947,0
"PER.PP.CPL",17952,17948,0
"PER.PP.EXE.CPL",17952,17952,0
"PER.PP.EXE.RCT",17952,17952,0
"PER.PP.EXE.TOT",17952,17951,0
"PER.PP.ITL.SHARE",17952,17952,0
"PER.PP.PCR",17952,17952,0
"PER.PP.PPC",17952,17944,0
"PER.PP.PRIV",17952,17948,0
"PER.PP.PS.GDP",17952,17949,0
"PER.PP.PS.RCT.RATIO",17952,17944,0
"PER.PP.PS.USD",17952,17948,0
"PER.PP.PSTF",17952,17952,0
"PER.PP.PVT.FEE",17952,17950,0
"PER.PP.QLT.P40",17952,17948,0
"PER.PP.QLT.Q1",17952,17948,0
"PER.PP.QLT.Q2",17952,17948,0
"PER.PP.QLT.Q4",17952,17948,0
"PER.PP.QLT.Q5",17952,17948,0
"PER.PP.QTL.NP",17952,17951,0
"PER.PP.QTL.POOR",17952,17951,0
"PER.PP.QTL.R40",17952,17948,0
"PER.PP.RCT",17952,17948,0
"PER.PP.SAL",17952,17946,0
"PER.PP.SAL.RCT",17952,17949,0
"PER.PP.SAL.TOT",17952,17949,0
"PER.PP.SAL.USD",17952,17944,0
"PER.PP.SOR.GOV",17952,17949,0
"PER.PP.TEACH.SHARE",17952,17946,0
"PER.PP.TNR",17952,17951,0
"PER.PRM.ADMIN",17952,17951,0
"PER.PRM.CIVIL.SAL",17952,17947,0
"PER.PRM.CIVIL.SHARE",17952,17950,0
"PER.PRM.COM.SAL",17952,17950,0
"PER.PRM.COM.SHARE",17952,17947,0
"PER.PRM.CONTRACT.SAL",17952,17949,0
"PER.PRM.DS.SHARE",17952,17949,0
"PER.PRM.EFF.REP",17952,17944,0
"PER.PRM.EFF.REP.YEAR.PUB",17952,17950,0
"PER.PRM.EFF.REP.YEAR.PVT",17952,17950,0
"PER.PRM.EFF.TCHRSUPPLY",17952,17949,0
"PER.PRM.EFF.TOT",17952,17945,0
"PER.PRM.EFF.WASTAGE",17952,17950,0
