"indicator","total_obs","missing_obs","completeness_rate"
"IC.BRE.BE.OS",17490,17440,0.3
"IC.BRE.BE.P1",17490,17440,0.3
"IC.BRE.BE.P2",17490,17440,0.3
"IC.BRE.BE.P3",17490,17440,0.3
"IC.BRE.BI.OS",17490,17440,0.3
"IC.BRE.BI.P1",17490,17440,0.3
"IC.BRE.BI.P2",17490,17440,0.3
"IC.BRE.BI.P3",17490,17440,0.3
"IC.BRE.BL.OS",17490,17440,0.3
"IC.BRE.BL.P1",17490,17440,0.3
"IC.BRE.BL.P2",17490,17440,0.3
"IC.BRE.BL.P3",17490,17440,0.3
"IC.BRE.DR.OS",17490,17440,0.3
"IC.BRE.DR.P1",17490,17440,0.3
"IC.BRE.DR.P2",17490,17440,0.3
"IC.BRE.DR.P3",17490,17440,0.3
"IC.BRE.FS.OS",17490,17440,0.3
"IC.BRE.FS.P1",17490,17440,0.3
"IC.BRE.FS.P2",17490,17440,0.3
"IC.BRE.FS.P3",17490,17440,0.3
"IC.BRE.IT.OS",17490,17440,0.3
"IC.BRE.IT.P1",17490,17440,0.3
"IC.BRE.IT.P2",17490,17440,0.3
"IC.BRE.IT.P3",17490,17440,0.3
"IC.BRE.LB.OS",17490,17440,0.3
"IC.BRE.LB.P1",17490,17440,0.3
"IC.BRE.LB.P2",17490,17440,0.3
"IC.BRE.LB.P3",17490,17440,0.3
"IC.BRE.MC.OS",17490,17440,0.3
"IC.BRE.MC.P1",17490,17440,0.3
"IC.BRE.MC.P2",17490,17440,0.3
"IC.BRE.MC.P3",17490,17440,0.3
"IC.BRE.P1.RF",17490,17440,0.3
"IC.BRE.P2.PS",17490,17440,0.3
"IC.BRE.P3.OE",17490,17440,0.3
"IC.BRE.TX.OS",17490,17440,0.3
"IC.BRE.TX.P1",17490,17440,0.3
"IC.BRE.TX.P2",17490,17440,0.3
"IC.BRE.TX.P3",17490,17440,0.3
"IC.BRE.US.OS",17490,17440,0.3
"IC.BRE.US.P1",17490,17440,0.3
"IC.BRE.US.P2",17490,17440,0.3
"IC.BRE.US.P3",17490,17440,0.3
"SG.TIM.UWRK.FE",17490,17424,0.4
"SG.TIM.UWRK.MA",17490,17424,0.4
"EN.CLC.DRSK.XQ",17490,17407,0.5
"SH.STA.FGMS.ZS",17490,17399,0.5
"DT.NFL.UNCTAD.CD",17490,17404,0.5
"per_lm_alllm.adq_pop_tot",17490,17377,0.6
"SG.VAW.1549.ZS",17490,17384,0.6
"SI.POV.MPUN",17490,17381,0.6
"SL.SLF.0714.FE.ZS",17490,17392,0.6
"SL.SLF.0714.MA.ZS",17490,17392,0.6
"SL.SLF.0714.ZS",17490,17392,0.6
"SM.POP.OPIP.EO",17490,17392,0.6
"DT.DOD.PVLX.EX.ZS",17490,17383,0.6
"DT.DOD.PVLX.GN.ZS",17490,17380,0.6
"SI.SPR.PCAP.ZG",17490,17368,0.7
"SL.TLF.0714.WK.FE.TM",17490,17366,0.7
"SL.TLF.0714.WK.MA.TM",17490,17364,0.7
"SL.TLF.0714.WK.TM",17490,17364,0.7
"DT.DOD.PVLX.CD",17490,17361,0.7
