"year","total_obs","missing_obs","completeness_rate"
1960,370205,335394,9.4
1961,370205,329873,10.9
1962,370205,328663,11.2
1963,370205,327749,11.5
1964,370205,327258,11.6
1965,370205,325466,12.1
1966,370205,325235,12.1
1967,370205,324592,12.3
1968,370205,324098,12.5
1969,370205,323485,12.6
1970,370205,304773,17.7
1971,370205,300594,18.8
1972,370205,298989,19.2
1973,370205,298341,19.4
1974,370205,296975,19.8
1975,370205,293722,20.7
1976,370205,291436,21.3
1977,370205,289151,21.9
1978,370205,288281,22.1
1979,370205,287387,22.4
1980,370205,283949,23.3
1981,370205,281845,23.9
1982,370205,281449,24
1983,370205,280558,24.2
1984,370205,279891,24.4
1985,370205,278006,24.9
1986,370205,277022,25.2
1987,370205,276589,25.3
1988,370205,277104,25.1
1989,370205,275574,25.6
1990,370205,250912,32.2
1991,370205,244177,34
1992,370205,241124,34.9
1993,370205,238599,35.5
1994,370205,236386,36.1
1995,370205,229849,37.9
1996,370205,226893,38.7
1997,370205,228809,38.2
1998,370205,224220,39.4
1999,370205,220877,40.3
2000,370205,191476,48.3
2001,370205,198114,46.5
2002,370205,193191,47.8
2003,370205,192578,48
2004,370205,189426,48.8
2005,370205,179199,51.6
2006,370205,177559,52
2007,370205,175014,52.7
2008,370205,175208,52.7
2009,370205,172216,53.5
2010,370205,161970,56.2
2011,370205,165833,55.2
2012,370205,164454,55.6
2013,370205,165510,55.3
2014,370205,160283,56.7
2015,370205,156663,57.7
2016,370205,160337,56.7
2017,370205,162368,56.1
2018,370205,163549,55.8
2019,370205,165541,55.3
2020,370205,167863,54.7
2021,370205,173442,53.1
2022,370205,187040,49.5
2023,370205,200012,46
2024,370205,232095,37.3
2025,370205,294703,20.4
