"indicator","total_obs","missing_obs","completeness_rate"
"NW.NCA.MLIT.PC.CD",3926,3770,4
"NW.NCA.MLIT.TO.CD",3926,3770,4
"NW.NCA.MCOB.PC.CD",3926,3618,7.8
"NW.NCA.MCOB.TO.CD",3926,3618,7.8
"NW.NCA.MMOL.PC.CD",3926,3588,8.6
"NW.NCA.MMOL.TO.CD",3926,3588,8.6
"NW.NCA.MTIN.PC.CD",3926,3412,13.1
"NW.NCA.MTIN.TO.CD",3926,3412,13.1
"NW.NCA.MNIC.PC.CD",3926,3384,13.8
"NW.NCA.MNIC.TO.CD",3926,3384,13.8
"NW.NCA.MBAU.PC.CD",3926,3239,17.5
"NW.NCA.MBAU.TO.CD",3926,3239,17.5
"NW.NCA.MPHO.PC.CD",3926,3049,22.3
"NW.NCA.MPHO.TO.CD",3926,3049,22.3
"NW.NCA.MLEA.PC.CD",3926,2908,25.9
"NW.NCA.MLEA.TO.CD",3926,2908,25.9
"NW.NCA.MZIN.PC.CD",3926,2828,28
"NW.NCA.MZIN.TO.CD",3926,2828,28
"NW.NCA.MIRO.PC.CD",3926,2804,28.6
"NW.NCA.MIRO.TO.CD",3926,2804,28.6
"NW.NCA.MCOP.PC.CD",3926,2720,30.7
"NW.NCA.MCOP.TO.CD",3926,2720,30.7
"NW.NCA.MSIL.PC.CD",3926,2488,36.6
"NW.NCA.MSIL.TO.CD",3926,2488,36.6
"NW.NCA.SAOI.PC.CD",3926,1861,52.6
"NW.NCA.SAOI.TO.CD",3926,1861,52.6
"NW.NCA.SAGA.PC.CD",3926,1849,52.9
"NW.NCA.SAGA.TO.CD",3926,1849,52.9
"NW.NCA.MGOL.PC.CD",3926,1760,55.2
"NW.NCA.MGOL.TO.CD",3926,1760,55.2
"NW.NCA.MINR.PC.CD",3926,1092,72.2
"NW.NCA.MINR.TO.CD",3926,1092,72.2
"NW.NCA.HYDR.PC.CD",3926,1083,72.4
"NW.NCA.HYDR.TO.CD",3926,1083,72.4
"NW.NCA.MIRO.PC",3926,613,84.4
"NW.NCA.MIRO.TO",3926,613,84.4
"NW.NCA.MSIL.PC",3926,367,90.7
"NW.NCA.MSIL.TO",3926,367,90.7
"NW.NCA.MLEA.PC",3926,327,91.7
"NW.NCA.MLEA.TO",3926,327,91.7
"NW.NCA.MTIN.PC",3926,301,92.3
"NW.NCA.MTIN.TO",3926,301,92.3
"NW.NCA.MBAU.PC",3926,275,93
"NW.NCA.MBAU.TO",3926,275,93
"NW.NCA.MGOL.PC",3926,263,93.3
"NW.NCA.MGOL.TO",3926,263,93.3
"NW.NCA.MZIN.PC",3926,258,93.4
"NW.NCA.MZIN.TO",3926,258,93.4
"NW.NCA.MNIC.PC",3926,223,94.3
"NW.NCA.MNIC.TO",3926,223,94.3
"NW.NCA.MCOB.PC",3926,197,95
"NW.NCA.MCOB.TO",3926,197,95
"NW.NCA.MCOP.PC",3926,197,95
"NW.NCA.MCOP.TO",3926,197,95
"NW.NCA.MPHO.PC",3926,197,95
"NW.NCA.MPHO.TO",3926,197,95
"NW.NCA.SAOI.PC",3926,193,95.1
"NW.NCA.SAOI.TO",3926,193,95.1
"NW.NCA.MLIT.PC",3926,171,95.6
"NW.NCA.MLIT.TO",3926,171,95.6
"NW.NCA.MMOL.PC",3926,171,95.6
"NW.NCA.MMOL.TO",3926,171,95.6
"NW.NCA.SACO.PC",3926,119,97
"NW.NCA.SACO.TO",3926,119,97
"NW.NCA.SAGA.PC",3926,119,97
"NW.NCA.SAGA.TO",3926,119,97
"NW.NFA.PC",3926,105,97.3
"NW.NFA.TO",3926,105,97.3
"NW.NFL.PC",3926,105,97.3
"NW.NFL.TO",3926,105,97.3
"NW.TOW.PC",3926,105,97.3
"NW.TOW.TO",3926,105,97.3
"NW.NCA.FSTC.PC.CD",3926,93,97.6
"NW.NCA.FSTC.TO.CD",3926,93,97.6
"NW.NCA.FSTP.PC.CD",3926,93,97.6
"NW.NCA.FSTP.TO.CD",3926,93,97.6
"NW.NCA.FSTW.PC.CD",3926,93,97.6
"NW.NCA.FSTW.TO.CD",3926,93,97.6
"NW.NFA.PC.CD",3926,75,98.1
"NW.NFA.TO.CD",3926,75,98.1
"NW.NFL.PC.CD",3926,75,98.1
"NW.NFL.TO.CD",3926,75,98.1
"NW.TOW.PC.CD",3926,75,98.1
"NW.TOW.TO.CD",3926,75,98.1
"NW.NCA.FISH.PC.CD",3926,66,98.3
"NW.NCA.FISH.TO.CD",3926,66,98.3
"NW.NCA.HYDR.PC",3926,67,98.3
"NW.NCA.HYDR.TO",3926,67,98.3
"NW.NCA.SACO.PC.CD",3926,54,98.6
"NW.NCA.SACO.TO.CD",3926,54,98.6
"NW.DOW.PC.CD",3926,47,98.8
"NW.DOW.TO.CD",3926,47,98.8
"NW.PCA.PC.EX.CD",3926,42,98.9
"NW.PCA.PC.IN.CD",3926,42,98.9
"NW.PCA.TO.EX.CD",3926,42,98.9
"NW.PCA.TO.IN.CD",3926,42,98.9
"NW.DOW.PC",3926,41,99
"NW.DOW.TO",3926,41,99
"NW.HCA.FEMA.PC",3926,41,99
"NW.HCA.FEMA.PC.CD",3926,41,99
"NW.HCA.FEMA.TO",3926,41,99
"NW.HCA.FEMA.TO.CD",3926,41,99
"NW.HCA.MALE.PC",3926,41,99
"NW.HCA.MALE.PC.CD",3926,41,99
"NW.HCA.MALE.TO",3926,41,99
"NW.HCA.MALE.TO.CD",3926,41,99
"NW.HCA.PC",3926,41,99
