"year","total_obs","missing_obs","completeness_rate"
1995,22046,4322,80.4
1996,22046,4310,80.4
1997,22046,4258,80.7
1998,22046,4250,80.7
1999,22046,4230,80.8
2000,22046,4214,80.9
2001,22046,4200,80.9
2002,22046,4184,81
2003,22046,4182,81
2004,22046,4168,81.1
2005,22046,4130,81.3
2006,22046,4118,81.3
2007,22046,3882,82.4
2008,22046,3866,82.5
2009,22046,3870,82.4
2010,22046,3844,82.6
2011,22046,3818,82.7
2012,22046,3684,83.3
2013,22046,3658,83.4
2014,22046,3650,83.4
2015,22046,3702,83.2
2016,22046,3700,83.2
2017,22046,3738,83
2018,22046,3762,82.9
2019,22046,3742,83
2020,22046,3730,83.1
