"indicator","country","iso3c","missing_years","nb_missing_years"
"NW.DOW.PC","Montenegro","MNE","1995-2006",12
"NW.DOW.PC","Serbia","SRB","1995-2006",12
"NW.DOW.PC","Sudan","SDN","1995-2011",17
"NW.DOW.PC.CD","Angola","AGO","1995-2001",7
"NW.DOW.PC.CD","Belarus","BLR","1995-1998",4
"NW.DOW.PC.CD","Bosnia and Herzegovina","BIH","1995",1
"NW.DOW.PC.CD","Bulgaria","BGR","1995",1
"NW.DOW.PC.CD","Congo, Dem. Rep.","","1995-2000",6
"NW.DOW.PC.CD","Iraq","IRQ","1995-1999",5
"NW.DOW.PC.CD","Montenegro","MNE","1995-2003",9
"NW.DOW.PC.CD","Serbia","SRB","1995-1998",4
"NW.DOW.PC.CD","Sudan","SDN","2012-2013",2
"NW.DOW.PC.CD","Tajikistan","TJK","1995-1996",2
"NW.DOW.PC.CD","Turkiye","TUR","1995-1998",4
"NW.DOW.PC.CD","Zambia","ZMB","1995-1996",2
"NW.DOW.TO","Montenegro","MNE","1995-2006",12
"NW.DOW.TO","Serbia","SRB","1995-2006",12
"NW.DOW.TO","Sudan","SDN","1995-2011",17
"NW.DOW.TO.CD","Angola","AGO","1995-2001",7
"NW.DOW.TO.CD","Belarus","BLR","1995-1998",4
"NW.DOW.TO.CD","Bosnia and Herzegovina","BIH","1995",1
"NW.DOW.TO.CD","Bulgaria","BGR","1995",1
"NW.DOW.TO.CD","Congo, Dem. Rep.","","1995-2000",6
"NW.DOW.TO.CD","Iraq","IRQ","1995-1999",5
"NW.DOW.TO.CD","Montenegro","MNE","1995-2003",9
"NW.DOW.TO.CD","Serbia","SRB","1995-1998",4
"NW.DOW.TO.CD","Sudan","SDN","2012-2013",2
"NW.DOW.TO.CD","Tajikistan","TJK","1995-1996",2
"NW.DOW.TO.CD","Turkiye","TUR","1995-1998",4
"NW.DOW.TO.CD","Zambia","ZMB","1995-1996",2
"NW.HCA.FEMA.PC","Montenegro","MNE","1995-2006",12
"NW.HCA.FEMA.PC","Serbia","SRB","1995-2006",12
"NW.HCA.FEMA.PC","Sudan","SDN","1995-2011",17
"NW.HCA.FEMA.PC.CD","Montenegro","MNE","1995-2006",12
"NW.HCA.FEMA.PC.CD","Serbia","SRB","1995-2006",12
"NW.HCA.FEMA.PC.CD","Sudan","SDN","1995-2011",17
"NW.HCA.FEMA.TO","Montenegro","MNE","1995-2006",12
"NW.HCA.FEMA.TO","Serbia","SRB","1995-2006",12
"NW.HCA.FEMA.TO","Sudan","SDN","1995-2011",17
"NW.HCA.FEMA.TO.CD","Montenegro","MNE","1995-2006",12
"NW.HCA.FEMA.TO.CD","Serbia","SRB","1995-2006",12
"NW.HCA.FEMA.TO.CD","Sudan","SDN","1995-2011",17
"NW.HCA.MALE.PC","Montenegro","MNE","1995-2006",12
"NW.HCA.MALE.PC","Serbia","SRB","1995-2006",12
"NW.HCA.MALE.PC","Sudan","SDN","1995-2011",17
"NW.HCA.MALE.PC.CD","Montenegro","MNE","1995-2006",12
"NW.HCA.MALE.PC.CD","Serbia","SRB","1995-2006",12
"NW.HCA.MALE.PC.CD","Sudan","SDN","1995-2011",17
"NW.HCA.MALE.TO","Montenegro","MNE","1995-2006",12
"NW.HCA.MALE.TO","Serbia","SRB","1995-2006",12
"NW.HCA.MALE.TO","Sudan","SDN","1995-2011",17
"NW.HCA.MALE.TO.CD","Montenegro","MNE","1995-2006",12
"NW.HCA.MALE.TO.CD","Serbia","SRB","1995-2006",12
"NW.HCA.MALE.TO.CD","Sudan","SDN","1995-2011",17
"NW.HCA.PC","Montenegro","MNE","1995-2006",12
"NW.HCA.PC","Serbia","SRB","1995-2006",12
"NW.HCA.PC","Sudan","SDN","1995-2011",17
"NW.HCA.PC.CD","Montenegro","MNE","1995-2006",12
