"indicator","name","category"
"NW.DOW.PC","Domestic comprehensive wealth per capita index (real chained 2019 US$)","Domestic Comprehensive Wealth"
"NW.DOW.PC.CD","Domestic comprehensive wealth per capita index (current US$)","Domestic Comprehensive Wealth"
"NW.DOW.TO","Domestic comprehensive wealth index (real chained 2019 US$)","Domestic Comprehensive Wealth"
"NW.DOW.TO.CD","Domestic comprehensive wealth index (current US$)","Domestic Comprehensive Wealth"
"NW.HCA.FEMA.PC","Human capital per capita, female (real chained 2019 US$)","Human Capital"
"NW.HCA.FEMA.PC.CD","Human capital per capita, female (current US$)","Human Capital"
"NW.HCA.FEMA.TO","Human capital, female (real chained 2019 US$)","Human Capital"
"NW.HCA.FEMA.TO.CD","Human capital, female (current US$)","Human Capital"
"NW.HCA.MALE.PC","Human capital per capita, male (real chained 2019 US$)","Human Capital"
"NW.HCA.MALE.PC.CD","Human capital per capita, male (current US$)","Human Capital"
"NW.HCA.MALE.TO","Human capital, male (real chained 2019 US$)","Human Capital"
"NW.HCA.MALE.TO.CD","Human capital, male (current US$)","Human Capital"
"NW.HCA.PC","Human capital per capita (real chained 2019 US$)","Human Capital"
"NW.HCA.PC.CD","Human capital per capita (current US$)","Human Capital"
"NW.HCA.TO","Human capital (real chained 2019 US$)","Human Capital"
"NW.HCA.TO.CD","Human capital (current US$)","Human Capital"
"NW.NCA.AGRI.PC","Renewable natural capital per capita, agricultural land (real chained 2019 US$)","Natural Capital"
"NW.NCA.AGRI.PC.CD","Renewable natural capital per capita, agricultural land (current US$)","Natural Capital"
"NW.NCA.AGRI.TO","Renewable natural capital, agricultural land (real chained 2019 US$)","Natural Capital"
"NW.NCA.AGRI.TO.CD","Renewable natural capital, agricultural land (current US$)","Natural Capital"
"NW.NCA.CROP.PC.CD","Renewable natural capital per capita, agricultural land: cropland (current US$)","Natural Capital"
"NW.NCA.CROP.TO.CD","Renewable natural capital, agricultural land: cropland (current US$)","Natural Capital"
"NW.NCA.FISH.PC","Renewable natural capital per capita, fisheries (real chained 2019 US$)","Natural Capital"
"NW.NCA.FISH.PC.CD","Renewable natural capital per capita, fisheries (current US$)","Natural Capital"
"NW.NCA.FISH.TO","Renewable natural capital, fisheries (real chained 2019 US$)","Natural Capital"
"NW.NCA.FISH.TO.CD","Renewable natural capital, fisheries (current US$)","Natural Capital"
"NW.NCA.FSTC.PC","Renewable natural capital per capita, forest recreation, hunting and fishing services (real chained 2019 US$)","Natural Capital"
"NW.NCA.FSTC.PC.CD","Renewable natural capital per capita, forest recreation, hunting and fishing services (current US$)","Natural Capital"
"NW.NCA.FSTC.TO","Renewable natural capital, forest recreation, hunting and fishing services (real chained 2019 US$)","Natural Capital"
"NW.NCA.FSTC.TO.CD","Renewable natural capital, forest recreation, hunting and fishing services (current US$)","Natural Capital"
"NW.NCA.FSTP.PC","Renewable natural capital per capita, nonwood forest protection ecosystem services (real chained 2019 US$)","Natural Capital"
"NW.NCA.FSTP.PC.CD","Renewable natural capital per capita, nonwood forest protection ecosystem services (current US$)","Natural Capital"
"NW.NCA.FSTP.TO","Renewable natural capital, nonwood forest protection ecosystem services (real chained 2019 US$)","Natural Capital"
"NW.NCA.FSTP.TO.CD","Renewable natural capital, nonwood forest protection ecosystem services (current US$)","Natural Capital"
"NW.NCA.FSTW.PC","Renewable natural capital per capita, forest water ecosystem services (real chained 2019 US$)","Natural Capital"
"NW.NCA.FSTW.PC.CD","Renewable natural capital per capita, forest water ecosystem services (current US$)","Natural Capital"
