"indicator","name","prefix","category"
"ENF.CONT.COEN.ATDR","Enforcing contracts: Alternative dispute resolution (0-3) (DB16-20 methodology)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.ATFE.PR","Enforcing contracts: Attorney fees (% of claim)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.COST.ZS","Enforcing contracts: Cost (% of claim)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.COST.ZS.DFRN","Enforcing contracts: Cost (% of claim) - Score","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.CSMG","Enforcing contracts: Case management (0-6) (DB16-20 methodology)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.CTAU","Enforcing contracts: Court automation (0-4) (DB17-20 methodology)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.CTFE.PR","Enforcing contracts: Court fees (% of claim)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.CTSP.DB1719","Enforcing contracts: Court structure and proceedings (0-5) (DB17-20 methodology)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.DB0415.DFRN","Enforcing contracts (DB04-15 methodology) - Score","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.DB1719.DFRN","Enforcing contracts (DB17-20 methodology) - Score","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.ENFE.PR","Enforcing contracts: Enforcement fees (% of claim)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.ENJU.DY","Enforcing contracts: Enforcement of judgment (days)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.FLSR.DY","Enforcing contracts: Filing and service (days)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.PROC.NO","Enforcing contracts: Procedures (number)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.PROC.NO.DFRN","Enforcing contracts: Procedures (number) - Score","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.QUJP.DB16.DFRN","Enforcing contracts: Quality of the judicial processes index (0-19) (DB17-20 methodology) - Score","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.QUJP.XD","Enforcing contracts: Quality of the judicial processes index (0-18) (DB17-20 methodology)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.RK.DB19","Rank: Enforcing contracts (1=most business-friendly regulations)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.COEN.TRJU.DY","Enforcing contracts: Trial and judgment (days)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.DURS.DY","Enforcing contracts: Time (days)","ENF.CONT","Enforcing Contracts"
"ENF.CONT.DURS.DY.DFRN","Enforcing contracts: Time (days) - Score","ENF.CONT","Enforcing Contracts"
"IC.BUS.EASE.DFRN.DB1014","Global: Ease of doing business score (DB10-14 methodology)","IC.BUS","General / Composite Business Indicators"
"IC.BUS.EASE.DFRN.DB16","Global: Ease of doing business score (DB15 methodology)","IC.BUS","General / Composite Business Indicators"
"IC.BUS.EASE.DFRN.XQ.DB1719","Global: Ease of doing business score (DB17-20 methodology)","IC.BUS","General / Composite Business Indicators"
"IC.CNST.LIR.XD.02.DB1619","Dealing with construction permits: Liability and insurance regimes index (0-2) (DB16-20 methodology)","IC.CNST","Construction Permits"
"IC.CNST.PC.XD.04.DB1619","Dealing with construction permits: Professional certifications index (0-4) (DB16-20 methodology)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.BQCI.015.DB1619.DFRN","Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology) - Score","IC.CNST","Construction Permits"
"IC.CNST.PRMT.COST.WRH.VAL","Dealing with construction permits: Cost (% of Warehouse value)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.COST.WRH.VAL.DFRN","Dealing with construction permits: Cost (% of Warehouse value) - Score","IC.CNST","Construction Permits"
"IC.CNST.PRMT.DFRN.DB0615","Dealing with construction permits (DB06-15 methodology) - Score","IC.CNST","Construction Permits"
"IC.CNST.PRMT.DFRN.DB1619","Dealing with construction permits (DB16-20 methodology) - Score","IC.CNST","Construction Permits"
"IC.CNST.PRMT.PROC.NO","Dealing with construction permits: Procedures (number)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.PROC.NO.DFRN","Dealing with construction permits: Procedures (number) - Score","IC.CNST","Construction Permits"
"IC.CNST.PRMT.QBR.XD.02.DB1619","Dealing with construction permits: Quality of building regulations index (0-2) (DB16-20 methodology)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.QCAC.XD.DB1619","Dealing with construction permits: Quality control after construction index (0-3) (DB16-20 methodology)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.QCBC.XD.01.DB1619","Dealing with construction permits: Quality control before construction index (0-1) (DB16-20 methodology)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.QCDC.XD.03.DB1619","Dealing with construction permits: Quality control during construction index (0-3) (DB16-20 methodology)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.RK","Rank: Dealing with construction permits (1=most business-friendly regulations)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.TM.DY","Dealing with construction permits: Time (days)","IC.CNST","Construction Permits"
"IC.CNST.PRMT.TM.DY.DFRN","Dealing with construction permits: Time (days)  - Score","IC.CNST","Construction Permits"
"IC.CRED.ACC.ACES.DB0514","Getting Credit total score (DB05-14 methodology)","IC.CRED","Getting Credit"
"IC.CRED.ACC.ACES.DB1519","Getting Credit total score (DB15-20 methodology)","IC.CRED","Getting Credit"
"IC.CRED.ACC.CRD.DB0514.DFRN","Getting credit (DB05-14 methodology) - Score","IC.CRED","Getting Credit"
"IC.CRED.ACC.CRD.DB1519.DFRN","Getting credit (DB15-20 methodology) - Score","IC.CRED","Getting Credit"
"IC.CRED.ACC.CRD.RK","Rank: Getting credit (1=most business-friendly regulations)","IC.CRED","Getting Credit"
"IC.CRED.ACC.DPTH.CISI.XD.06.DB0514","Getting credit: Depth of credit information index (0-6) (DB05-14 methodology)","IC.CRED","Getting Credit"
"IC.CRED.ACC.DPTH.CISI.XD.06.DB0514.DFRN","Getting credit: Depth of credit information index (0-6) (DB05-14 methodology) - Score","IC.CRED","Getting Credit"
"IC.CRED.ACC.DPTH.CISI.XD.08.DB1519","Getting credit: Depth of credit information index (0-8) (DB15-20 methodology)","IC.CRED","Getting Credit"
"IC.CRED.ACC.DPTH.CISI.XD.08.DB1519.DFRN","Getting credit: Depth of credit information index (0-8) (DB15-20 methodology) - Score","IC.CRED","Getting Credit"
"IC.CRED.ACC.LGL.RGHT.010.XD.DB0514.DFRN","Getting credit: Strength of legal rights index (0-10) (DB05-14 methodology) - Score","IC.CRED","Getting Credit"
"IC.CRED.ACC.LGL.RGHT.012.XD.DB1519.DFRN","Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology) - Score","IC.CRED","Getting Credit"
"IC.CRED.ACC.LGL.RGHT.XD.010.DB0514","Getting credit: Strength of legal rights index (0-10) (DB05-14 methodology)","IC.CRED","Getting Credit"
"IC.CRED.ACC.LGL.RGHT.XD.012.DB1519","Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology)","IC.CRED","Getting Credit"
"IC.CRED.ACC.PRVT.CRD.ZS","Getting credit: Credit bureau coverage (% of adults)","IC.CRED","Getting Credit"
"IC.CRED.ACC.PUBL.CRD.REG.COVR.ZS","Getting credit: Credit registry coverage (% of adults)","IC.CRED","Getting Credit"
"IC.DCP.BQC.XD.015.DB1619","Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology)","IC.DCP","Construction Permits"
"IC.ELC.ACES.DFRN.DB1015","Getting electricity (DB10-15 methodology) - Score","IC.ELC","Getting Electricity"
"IC.ELC.ACES.DFRN.DB1619","Getting electricity (DB16-20 methodology) - Score","IC.ELC","Getting Electricity"
"IC.ELC.ACES.RK.DB19","Rank: Getting electricity (1=most business-friendly regulations)","IC.ELC","Getting Electricity"
"IC.ELC.ACS.COST","Getting electricity: Cost to get electricity (% of income per capita)","IC.ELC","Getting Electricity"
"IC.ELC.ACS.COST.DFRN","Getting electricity: Cost to get electricity (% of income per capita) - Score","IC.ELC","Getting Electricity"
"IC.ELC.COMM.TRFF.CG.01.DB1619","Getting electricity: Communication of tariffs and tariff changes (0-1) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.LMTG.OUTG.01.DB1619","Getting electricity: Financial deterrents aimed at limiting outages (0-1) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.MONT.OUTG.01.DB1619","Getting electricity: Mechanisms for monitoring outages (0-1) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.OUTG.FREQ.DURS.03.DB1619","Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.OUTG.MN.DB1619","Getting electricity: Minimum outage time (in minutes)  (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.PRI.KH.DB1619","Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.PROC.NO","Getting electricity: Procedures (number)","IC.ELC","Getting Electricity"
"IC.ELC.PROC.NO.DFRN","Getting electricity: Procedures (number) - Score","IC.ELC","Getting Electricity"
"IC.ELC.REGU.MONT.01.DB1619","Getting electricity: Regulatory monitoring (0-1) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.RSTOR.01.DB1619","Getting electricity: Mechanisms for restoring service (0-1) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.RSTT.XD.08.DB1619","Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.RSTT.XD.08.DFRN.DB1619","Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology) - Score","IC.ELC","Getting Electricity"
"IC.ELC.SAID.XD.DB1619","Getting electricity: System average interruption duration index (SAIDI) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.SAIF.XD.DB1619","Getting electricity: System average interruption frequency index (SAIFI) (DB16-20 methodology)","IC.ELC","Getting Electricity"
"IC.ELC.TIME.DFRN","Getting electricity: Time (days) - Score","IC.ELC","Getting Electricity"
"IC.REG.COST.PC.FE.ZS.DRFN","Starting a business: Cost - Women (% of income per capita) - Score","IC.REG","Starting a Business"
"IC.REG.COST.PC.MA.ZS.DFRN","Starting a business: Cost - Men (% of income per capita) - Score","IC.REG","Starting a Business"
"IC.REG.DFRN.PC.DFRN","Starting a business: Paid-in Minimum capital (% of income per capita) - Score","IC.REG","Starting a Business"
"IC.REG.DURS.FE.DY","Starting a business: Time - Women (days)","IC.REG","Starting a Business"
"IC.REG.DURS.FE.DY.DRFN","Starting a business: Time - Women (days)- Score","IC.REG","Starting a Business"
"IC.REG.DURS.MA.DY","Starting a business: Time - Men (days)","IC.REG","Starting a Business"
"IC.REG.DURS.MA.DY.DFRN","Starting a business: Time - Men (days) - Score","IC.REG","Starting a Business"
"IC.REG.MIN.CAP","Starting a business: Minimum capital (% of income per capita)","IC.REG","Starting a Business"
"IC.REG.PROC.FE.NO","Starting a business: Procedures required - Women (number)","IC.REG","Starting a Business"
"IC.REG.PROC.FE.NO.DFRN","Starting a business: Procedures required - Women (number) - Score","IC.REG","Starting a Business"
"IC.REG.PROC.MA.NO","Starting a business: Procedures required - Men (number)","IC.REG","Starting a Business"
"IC.REG.PROC.MA.NO.DFRN","Starting a business: Procedures required - Men (number) - Score","IC.REG","Starting a Business"
"IC.REG.PRRT.COST.PRT.VAL","Registering property: Cost (% of property value)","IC.REG","Starting a Business"
"IC.REG.PRRT.COST.PRT.VAL.DFRN","Registering property: Cost (% of property value) - Score","IC.REG","Starting a Business"
"IC.REG.PRRT.DFRN.DB0515","Registering property (DB05-15 methodology) - Score","IC.REG","Starting a Business"
"IC.REG.PRRT.DFRN.DB1719","Registering property (DB17-20 methodology) - Score","IC.REG","Starting a Business"
"IC.REG.PRRT.DURS.TM","Registering property: Time (days)","IC.REG","Starting a Business"
"IC.REG.PRRT.DURS.TM.DRFN","Registering property: Time (days) - Score","IC.REG","Starting a Business"
"IC.REG.PRRT.EQACCS.XD.08.DB1619","Registering property: Equal access to property rights index (-2-0) (DB17-20 methodology)","IC.REG","Starting a Business"
"IC.REG.PRRT.GEO.COVR.XD.08.DB1619","Registering property: Geographic coverage index (0-8) (DB16-20 methodology)","IC.REG","Starting a Business"
"IC.REG.PRRT.LAND.DISP.XD.08.DB1619","Registering property: Land dispute resolution index (0-8) (DB16-20 methodology)","IC.REG","Starting a Business"
"IC.REG.PRRT.PROC.NO","Registering property: Procedures (number)","IC.REG","Starting a Business"
"IC.REG.PRRT.PROC.NO.DFRN","Registering property: Procedures (number) - Score","IC.REG","Starting a Business"
