"indicator","total_obs","missing_obs","completeness_rate"
"BI.PWK.CMPA.SN.MD",4646,4565,1.7
"BI.PWK.CMPA.SN.SM",4646,4565,1.7
"BI.WAG.CPRS.PB.SN.ZS",4646,4564,1.8
"BI.PWK.PUBS.RU.SS.ZS",4646,4560,1.9
"BI.WAG.CPRS.PB.GE.ZS",4646,4547,2.1
"BI.PWK.CMPA.GE.MD",4646,4548,2.1
"BI.PWK.CMPA.GE.SM",4646,4548,2.1
"BI.PWK.PUBS.TT.SS.ZS",4646,4527,2.6
"BI.WAG.CPRS.PB.UT.ZS",4646,4525,2.6
"BI.PWK.CMPA.UT.MD",4646,4526,2.6
"BI.PWK.CMPA.UT.SM",4646,4526,2.6
"BI.PWK.PUBS.SS.FE.ZS",4646,4516,2.8
"BI.EMP.FRML.SS.PB.ZS",4646,4510,2.9
"BI.WAG.CPRS.PB.JU.ZS",4646,4510,2.9
"BI.PWK.CMPA.JU.MD",4646,4509,2.9
"BI.PWK.CMPA.JU.SM",4646,4509,2.9
"BI.WAG.CPRS.PB.ST.ZS",4646,4507,3
"BI.PWK.CMPA.PO.MD",4646,4505,3
"BI.PWK.CMPA.PO.SM",4646,4505,3
"BI.PWK.CMPA.ST.MD",4646,4508,3
"BI.PWK.CMPA.ST.SM",4646,4508,3
"BI.WAG.CPRS.PB.PO.ZS",4646,4504,3.1
"BI.EMP.FRML.CA.PB.ZS",4646,4496,3.2
"BI.WAG.CPRS.PB.PT.ZS",4646,4497,3.2
"BI.PWK.CMPA.PT.MD",4646,4497,3.2
"BI.PWK.CMPA.PT.SM",4646,4497,3.2
"BI.PWK.PUBS.UM.ZS",4646,4494,3.3
"BI.WAG.CPRS.PB.HD.ZS",4646,4491,3.3
"BI.PWK.CMPA.HD.MD",4646,4491,3.3
"BI.PWK.CMPA.HD.SM",4646,4491,3.3
"BI.PWK.CMPA.HN.MD",4646,4491,3.3
"BI.PWK.CMPA.HN.SM",4646,4491,3.3
"BI.EMP.FRML.PB.PS.ZS",4646,4490,3.4
"BI.WAG.CPRS.PB.HN.ZS",4646,4490,3.4
"BI.PWK.AGES.PB.SS.SM",4646,4487,3.4
"BI.PWK.PRVS.UM.ZS",4646,4480,3.6
"BI.WAG.PUBS.SS.FM",4646,4473,3.7
"BI.PWK.PUBS.HS.ZS",4646,4473,3.7
"BI.PWK.PUBS.RU.PS.ZS",4646,4468,3.8
"BI.WAG.PREM.PB.FM.SS",4646,4471,3.8
"BI.PWK.PUBS.RU.CA.ZS",4646,4470,3.8
"BI.WAG.PRVS.MW.FM",4646,4463,3.9
"BI.EMP.PWRK.SS.PB.ZS",4646,4467,3.9
"BI.EMP.TOTL.SS.PB.ZS",4646,4467,3.9
"BI.PWK.PUBS.NO.SS",4646,4464,3.9
"BI.PWK.PUBS.TT.PS.ZS",4646,4459,4
