"year","total_obs","missing_obs","completeness_rate"
2000,60398,56800,6
2001,60398,55620,7.9
2002,60398,54384,10
2003,60398,54654,9.5
2004,60398,54112,10.4
2005,60398,53075,12.1
2006,60398,53341,11.7
2007,60398,52534,13
2008,60398,51891,14.1
2009,60398,51374,14.9
2010,60398,51449,14.8
2011,60398,51472,14.8
2012,60398,50460,16.5
2013,60398,51944,14
2014,60398,51419,14.9
2015,60398,51359,15
2016,60398,53604,11.2
2017,60398,50672,16.1
2018,60398,55542,8
2019,60398,58015,3.9
2020,60398,58727,2.8
2021,60398,58809,2.6
2022,60398,59967,0.7
