"indicator","country","iso3c","missing_years","nb_missing_years"
"BI.EMP.FRML.CA.PB.ZS","Afghanistan","AFG","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Albania","ALB","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Algeria","DZA","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Angola","AGO","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Anguilla","","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Antigua and Barbuda","ATG","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Argentina","ARG","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Armenia","ARM","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Aruba","ABW","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Australia","AUS","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Austria","AUT","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Azerbaijan","AZE","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Bahrain","BHR","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Bangladesh","BGD","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Barbados","BRB","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Belarus","BLR","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Belgium","BEL","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Belize","BLZ","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Benin","BEN","2000-2010, 2012-2014, 2016-2022",21
"BI.EMP.FRML.CA.PB.ZS","Bermuda","BMU","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Bhutan","BTN","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Bolivia","BOL","2002-2015, 2018-2022",19
"BI.EMP.FRML.CA.PB.ZS","Bosnia and Herzegovina","BIH","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Botswana","BWA","2000-2022",23
"BI.EMP.FRML.CA.PB.ZS","Brazil","BRA","2000-2022",23
