"indicator","name","category"
"BI.EMP.FRML.CA.PB.ZS","Core Public Administration workers, as a share of public formal employees","Employment Composition"
"BI.EMP.FRML.ED.PB.ZS","Education workers, as a share of public formal employees","Employment Composition"
"BI.EMP.FRML.HE.PB.ZS","Health workers, as a share of public formal employees","Employment Composition"
"BI.EMP.FRML.MW.PB.ZS","Medical workers, as a share of public formal employees","Employment Composition"
"BI.EMP.FRML.PB.ED.ZS","Public sector employment, as a share of formal employment, by industry: Education","Employment Composition"
"BI.EMP.FRML.PB.HE.ZS","Public sector employment, as a share of formal employment, by industry: Health","Employment Composition"
"BI.EMP.FRML.PB.MW.ZS","Public sector employment, as a share of formal employment, by occupation: Medical workers","Employment Composition"
"BI.EMP.FRML.PB.PA.ZS","Public Administration workers, as a share of public formal employees","Employment Composition"
"BI.EMP.FRML.PB.PS.ZS","Public Safety workers, as a share of public formal employees","Employment Composition"
"BI.EMP.FRML.PB.TS.ZS","Public sector employment, as a share of formal employment, by occupation: Teachers","Employment Composition"
"BI.EMP.FRML.PB.ZS","Public sector employment, as a share of formal employment","Employment Composition"
"BI.EMP.FRML.SS.PB.ZS","Social Security workers, as a share of public formal employees","Employment Composition"
"BI.EMP.FRML.TS.PB.ZS","Teachers, as a share of public formal employees","Employment Composition"
"BI.EMP.PUBS.FE.CK.ZS","Public sector female employment, as a share of paid employment by occupational group: Clerks","Employment Composition"
"BI.EMP.PUBS.FE.ED.ZS","Public sector female employment, as a share of paid employment by industry: Education","Employment Composition"
"BI.EMP.PUBS.FE.EO.ZS","Public sector female employment, as a share of paid employment by occupational group: Elementary workers","Employment Composition"
"BI.EMP.PUBS.FE.HE.ZS","Public sector female employment, as a share of paid employment by industry: Health","Employment Composition"
"BI.EMP.PUBS.FE.MW.ZS","Public sector female employment, as a share of paid employment by occupation: Medical workers","Employment Composition"
"BI.EMP.PUBS.FE.PN.ZS","Public sector female employment, as a share of paid employment by occupational group: Professionals","Employment Composition"
"BI.EMP.PUBS.FE.SN.ZS","Public sector female employment, as a share of paid employment by occupational group: Manager","Employment Composition"
"BI.EMP.PUBS.FE.TN.ZS","Public sector female employment, as a share of paid employment by occupational group: Technicians","Employment Composition"
"BI.EMP.PUBS.FE.TS.ZS","Public sector female employment, as a share of paid employment by occupation: Teachers","Employment Composition"
"BI.EMP.PWRK.CA.PB.ZS","Core Public Administration workers, as a share of public paid employees","Employment Composition"
"BI.EMP.PWRK.ED.PB.ZS","Education workers, as a share of public paid employees","Employment Composition"
"BI.EMP.PWRK.HE.PB.ZS","Health workers, as a share of public paid employees","Employment Composition"
"BI.EMP.PWRK.MW.PB.ZS","Medical workers, as a share of public paid employees","Employment Composition"
"BI.EMP.PWRK.PB.CK.ZS","Public sector employment, as a share of paid employment, by occupational group: Clerks","Employment Composition"
"BI.EMP.PWRK.PB.ED.ZS","Public sector employment, as a share of paid employment, by industry: Education","Employment Composition"
"BI.EMP.PWRK.PB.EO.ZS","Public sector employment, as a share of paid employment, by occupational group: Elementary workers","Employment Composition"
"BI.EMP.PWRK.PB.FE.ZS","Public sector employment, as a share of paid employment by gender: Female","Employment Composition"
"BI.EMP.PWRK.PB.HE.ZS","Public sector employment, as a share of paid employment, by industry: Health","Employment Composition"
"BI.EMP.PWRK.PB.MA.ZS","Public sector employment, as a share of paid employment by gender: Male","Employment Composition"
"BI.EMP.PWRK.PB.MW.ZS","Public sector employment, as a share of paid employment, by occupation: Medical workers","Employment Composition"
"BI.EMP.PWRK.PB.PA.ZS","Public Administration workers, as a share of public paid employees","Employment Composition"
"BI.EMP.PWRK.PB.PN.ZS","Public sector employment, as a share of paid employment, by occupational group: Professionals","Employment Composition"
"BI.EMP.PWRK.PB.PS.ZS","Public Safety workers, as a share of public paid employees","Employment Composition"
"BI.EMP.PWRK.PB.RU.ZS","Public sector employment, as a share of paid employment by location: Rural","Employment Composition"
"BI.EMP.PWRK.PB.SN.ZS","Public sector employment, as a share of paid employment, by occupational group: Manager","Employment Composition"
"BI.EMP.PWRK.PB.TN.ZS","Public sector employment, as a share of paid employment, by occupational group: Technicians","Employment Composition"
"BI.EMP.PWRK.PB.TS.ZS","Public sector employment, as a share of paid employment, by occupation: Teachers","Employment Composition"
"BI.EMP.PWRK.PB.UR.ZS","Public sector employment, as a share of paid employment by location: Urban","Employment Composition"
"BI.EMP.PWRK.PB.ZS","Public sector employment, as a share of paid employment","Employment Composition"
"BI.EMP.PWRK.SS.PB.ZS","Social Security workers, as a share of public paid employees","Employment Composition"
"BI.EMP.PWRK.TS.PB.ZS","Teachers, as a share of public paid employees","Employment Composition"
"BI.EMP.TOTL.CA.PB.ZS","Core Public Administration workers, as a share of public total employees","Employment Composition"
"BI.EMP.TOTL.ED.PB.ZS","Education workers, as a share of public total employees","Employment Composition"
"BI.EMP.TOTL.HE.PB.ZS","Health workers, as a share of public total employees","Employment Composition"
"BI.EMP.TOTL.MW.PB.ZS","Medical workers, as a share of public total employees","Employment Composition"
"BI.EMP.TOTL.NO","Number of employed individuals","Employment Composition"
"BI.EMP.TOTL.NO.CA","Number of employed employees, by industry: Core Public Administration","Employment Composition"
"BI.EMP.TOTL.NO.ED","Number of employed employees, by industry: Education","Employment Composition"
"BI.EMP.TOTL.NO.HE","Number of employed employees, by industry: Health","Employment Composition"
"BI.EMP.TOTL.NO.MW","Number of employed employees, by occupation: Medical workers","Employment Composition"
"BI.EMP.TOTL.NO.PA","Number of employed employees, by industry: Public Administration","Employment Composition"
"BI.EMP.TOTL.NO.PS","Number of employed employees, by industry: Public Safety","Employment Composition"
"BI.EMP.TOTL.NO.SS","Number of employed employees, by industry: Social Security","Employment Composition"
"BI.EMP.TOTL.NO.TS","Number of employed employees, by occupation: Teachers","Employment Composition"
"BI.EMP.TOTL.PB.CK.ZS","Public sector employment, as a share of total employment, by occupational group: Clerks","Employment Composition"
