"indicator","total_obs","missing_obs","completeness_rate"
"GOV_WGI_GE.EST",5616,276,95.1
"GOV_WGI_GE.SC",5616,276,95.1
"GOV_WGI_GE.SC_LB",5616,276,95.1
"GOV_WGI_GE.SC_UB",5616,276,95.1
"GOV_WGI_GE.SE",5616,276,95.1
"GOV_WGI_GE.SR",5616,276,95.1
"GOV_WGI_RQ.EST",5616,275,95.1
"GOV_WGI_RQ.SC",5616,275,95.1
"GOV_WGI_RQ.SC_LB",5616,275,95.1
"GOV_WGI_RQ.SC_UB",5616,275,95.1
"GOV_WGI_RQ.SE",5616,275,95.1
"GOV_WGI_RQ.SR",5616,275,95.1
"GOV_WGI_CC.EST",5616,243,95.7
"GOV_WGI_CC.SC",5616,243,95.7
"GOV_WGI_CC.SC_LB",5616,243,95.7
"GOV_WGI_CC.SC_UB",5616,243,95.7
"GOV_WGI_CC.SE",5616,243,95.7
"GOV_WGI_CC.SR",5616,243,95.7
"GOV_WGI_PV.EST",5616,187,96.7
"GOV_WGI_PV.SC",5616,187,96.7
"GOV_WGI_PV.SC_LB",5616,187,96.7
"GOV_WGI_PV.SC_UB",5616,187,96.7
"GOV_WGI_PV.SE",5616,187,96.7
"GOV_WGI_PV.SR",5616,187,96.7
"GOV_WGI_VA.EST",5616,172,96.9
"GOV_WGI_VA.SC",5616,172,96.9
"GOV_WGI_VA.SC_LB",5616,172,96.9
"GOV_WGI_VA.SC_UB",5616,172,96.9
"GOV_WGI_VA.SE",5616,172,96.9
"GOV_WGI_VA.SR",5616,172,96.9
"GOV_WGI_RL.EST",5616,140,97.5
"GOV_WGI_RL.SC",5616,140,97.5
"GOV_WGI_RL.SC_LB",5616,140,97.5
"GOV_WGI_RL.SC_UB",5616,140,97.5
"GOV_WGI_RL.SE",5616,140,97.5
"GOV_WGI_RL.SR",5616,140,97.5
