"year","total_obs","missing_obs","completeness_rate"
1996,7776,906,88.3
1998,7776,882,88.7
2000,7776,858,89
2002,7776,828,89.4
2003,7776,768,90.1
2004,7776,366,95.3
2005,7776,318,95.9
2006,7776,300,96.1
2007,7776,282,96.4
2008,7776,258,96.7
2009,7776,180,97.7
2010,7776,174,97.8
2011,7776,108,98.6
2012,7776,108,98.6
2013,7776,108,98.6
2014,7776,108,98.6
2015,7776,84,98.9
2016,7776,144,98.1
2017,7776,144,98.1
2018,7776,162,97.9
2019,7776,138,98.2
2020,7776,138,98.2
2021,7776,126,98.4
2022,7776,90,98.8
2023,7776,90,98.8
2024,7776,90,98.8
