"indicator","country","iso3c","missing_years","nb_missing_years"
"GOV_WGI_CC.EST","American Samoa","ASM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Anguilla","","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Aruba","ABW","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Cook Islands","","1996, 1998, 2000, 2002-2004, 2016-2021",12
"GOV_WGI_CC.EST","French Polynesia","PYF","1996, 1998, 2000, 2002-2020",22
"GOV_WGI_CC.EST","Greenland","GRL","1996, 1998, 2000, 2002-2008",10
"GOV_WGI_CC.EST","Guam","GUM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Jersey","","1996, 1998, 2000, 2002-2010",12
"GOV_WGI_CC.EST","Kiribati","KIR","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Kosovo","XKX","1996, 1998",2
"GOV_WGI_CC.EST","Marshall Islands","MHL","1996, 1998, 2000, 2002-2004",6
"GOV_WGI_CC.EST","Micronesia, Fed. Sts.","FSM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Monaco","MCO","1996, 1998, 2000, 2002-2014",16
"GOV_WGI_CC.EST","Montenegro","MNE","1996",1
"GOV_WGI_CC.EST","Nauru","NRU","1996, 1998, 2000, 2002-2006",8
"GOV_WGI_CC.EST","Netherlands Antilles","","1996, 1998, 2000, 2002-2003, 2018-2024",12
"GOV_WGI_CC.EST","New Caledonia","NCL","1996, 1998, 2000, 2002-2020",22
"GOV_WGI_CC.EST","Niue","","1996, 1998, 2000, 2002-2008, 2016-2021",16
"GOV_WGI_CC.EST","Palau","PLW","1996, 1998, 2000, 2002-2007",9
"GOV_WGI_CC.EST","Reunion","","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","San Marino","SMR","1996, 1998, 2000, 2002-2014",16
"GOV_WGI_CC.EST","South Sudan","SSD","1996, 1998, 2000, 2002-2009",11
"GOV_WGI_CC.EST","St. Kitts and Nevis","KNA","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","St. Lucia","LCA","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","St. Vincent and the Grenadines","VCT","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Timor-Leste","TLS","1996, 1998, 2000",3
"GOV_WGI_CC.EST","Tonga","TON","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Tuvalu","TUV","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.EST","Virgin Islands (U.S.)","VIR","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","American Samoa","ASM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Anguilla","","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Aruba","ABW","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Cook Islands","","1996, 1998, 2000, 2002-2004, 2016-2021",12
"GOV_WGI_CC.SC","French Polynesia","PYF","1996, 1998, 2000, 2002-2020",22
"GOV_WGI_CC.SC","Greenland","GRL","1996, 1998, 2000, 2002-2008",10
"GOV_WGI_CC.SC","Guam","GUM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Jersey","","1996, 1998, 2000, 2002-2010",12
"GOV_WGI_CC.SC","Kiribati","KIR","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Kosovo","XKX","1996, 1998",2
"GOV_WGI_CC.SC","Marshall Islands","MHL","1996, 1998, 2000, 2002-2004",6
"GOV_WGI_CC.SC","Micronesia, Fed. Sts.","FSM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Monaco","MCO","1996, 1998, 2000, 2002-2014",16
"GOV_WGI_CC.SC","Montenegro","MNE","1996",1
"GOV_WGI_CC.SC","Nauru","NRU","1996, 1998, 2000, 2002-2006",8
"GOV_WGI_CC.SC","Netherlands Antilles","","1996, 1998, 2000, 2002-2003, 2018-2024",12
"GOV_WGI_CC.SC","New Caledonia","NCL","1996, 1998, 2000, 2002-2020",22
"GOV_WGI_CC.SC","Niue","","1996, 1998, 2000, 2002-2008, 2016-2021",16
"GOV_WGI_CC.SC","Palau","PLW","1996, 1998, 2000, 2002-2007",9
"GOV_WGI_CC.SC","Reunion","","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","San Marino","SMR","1996, 1998, 2000, 2002-2014",16
"GOV_WGI_CC.SC","South Sudan","SSD","1996, 1998, 2000, 2002-2009",11
"GOV_WGI_CC.SC","St. Kitts and Nevis","KNA","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","St. Lucia","LCA","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","St. Vincent and the Grenadines","VCT","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Timor-Leste","TLS","1996, 1998, 2000",3
"GOV_WGI_CC.SC","Tonga","TON","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Tuvalu","TUV","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC","Virgin Islands (U.S.)","VIR","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC_LB","American Samoa","ASM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC_LB","Anguilla","","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC_LB","Aruba","ABW","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC_LB","Cook Islands","","1996, 1998, 2000, 2002-2004, 2016-2021",12
"GOV_WGI_CC.SC_LB","French Polynesia","PYF","1996, 1998, 2000, 2002-2020",22
"GOV_WGI_CC.SC_LB","Greenland","GRL","1996, 1998, 2000, 2002-2008",10
"GOV_WGI_CC.SC_LB","Guam","GUM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC_LB","Jersey","","1996, 1998, 2000, 2002-2010",12
"GOV_WGI_CC.SC_LB","Kiribati","KIR","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC_LB","Kosovo","XKX","1996, 1998",2
"GOV_WGI_CC.SC_LB","Marshall Islands","MHL","1996, 1998, 2000, 2002-2004",6
"GOV_WGI_CC.SC_LB","Micronesia, Fed. Sts.","FSM","1996, 1998, 2000, 2002-2003",5
"GOV_WGI_CC.SC_LB","Monaco","MCO","1996, 1998, 2000, 2002-2014",16
"GOV_WGI_CC.SC_LB","Montenegro","MNE","1996",1
