"indicator","name","category"
"GOV_WGI_CC.EST","Control of Corruption - Governance estimate (approx. -2.5 to +2.5)","Control of Corruption (CC)"
"GOV_WGI_CC.SC","Control of Corruption - Governance score (0-100)","Control of Corruption (CC)"
"GOV_WGI_CC.SC_LB","Control of Corruption - Lower bound of the 90% confidence interval for the governance score","Control of Corruption (CC)"
"GOV_WGI_CC.SC_UB","Control of Corruption - Upper bound of the 90% confidence interval for the governance score","Control of Corruption (CC)"
"GOV_WGI_CC.SE","Control of Corruption - Standard error of the governance estimate","Control of Corruption (CC)"
"GOV_WGI_CC.SR","Control of Corruption - Number of sources","Control of Corruption (CC)"
"GOV_WGI_GE.EST","Government Effectiveness - Governance estimate (approx. -2.5 to +2.5)","Government Effectiveness (GE)"
"GOV_WGI_GE.SC","Government Effectiveness - Governance score (0-100)","Government Effectiveness (GE)"
"GOV_WGI_GE.SC_LB","Government Effectiveness - Lower bound of the 90% confidence interval for the governance score","Government Effectiveness (GE)"
"GOV_WGI_GE.SC_UB","Government Effectiveness - Upper bound of the 90% confidence interval for the governance score","Government Effectiveness (GE)"
"GOV_WGI_GE.SE","Government Effectiveness - Standard error of the governance estimate","Government Effectiveness (GE)"
"GOV_WGI_GE.SR","Government Effectiveness - Number of sources","Government Effectiveness (GE)"
"GOV_WGI_PV.EST","Political Stability - Governance estimate (approx. -2.5 to +2.5)","Political Stability (PV)"
"GOV_WGI_PV.SC","Political Stability - Governance score (0-100)","Political Stability (PV)"
"GOV_WGI_PV.SC_LB","Political Stability - Lower bound of the 90% confidence interval for the governance score","Political Stability (PV)"
"GOV_WGI_PV.SC_UB","Political Stability - Upper bound of the 90% confidence interval for the governance score","Political Stability (PV)"
"GOV_WGI_PV.SE","Political Stability - Standard error of the governance estimate","Political Stability (PV)"
"GOV_WGI_PV.SR","Political Stability - Number of sources","Political Stability (PV)"
"GOV_WGI_RL.EST","Rule of Law - Governance estimate (approx. -2.5 to +2.5)","Rule of Law (RL)"
"GOV_WGI_RL.SC","Rule of Law - Governance score (0-100)","Rule of Law (RL)"
"GOV_WGI_RL.SC_LB","Rule of Law - Lower bound of the 90% confidence interval for the governance score","Rule of Law (RL)"
"GOV_WGI_RL.SC_UB","Rule of Law - Upper bound of the 90% confidence interval for the governance score","Rule of Law (RL)"
"GOV_WGI_RL.SE","Rule of Law - Standard error of the governance estimate","Rule of Law (RL)"
"GOV_WGI_RL.SR","Rule of Law - Number of sources","Rule of Law (RL)"
"GOV_WGI_RQ.EST","Regulatory Quality - Governance estimate (approx. -2.5 to +2.5)","Regulatory Quality (RQ)"
"GOV_WGI_RQ.SC","Regulatory Quality - Governance score (0-100)","Regulatory Quality (RQ)"
"GOV_WGI_RQ.SC_LB","Regulatory Quality - Lower bound of the 90% confidence interval for the governance score","Regulatory Quality (RQ)"
"GOV_WGI_RQ.SC_UB","Regulatory Quality - Upper bound of the 90% confidence interval for the governance score","Regulatory Quality (RQ)"
"GOV_WGI_RQ.SE","Regulatory Quality - Standard error of the governance estimate","Regulatory Quality (RQ)"
"GOV_WGI_RQ.SR","Regulatory Quality - Number of sources","Regulatory Quality (RQ)"
"GOV_WGI_VA.EST","Voice and Accountability - Governance estimate (approx. -2.5 to +2.5)","Voice and Accountability (VA)"
"GOV_WGI_VA.SC","Voice and Accountability - Governance score (0-100)","Voice and Accountability (VA)"
"GOV_WGI_VA.SC_LB","Voice and Accountability - Lower bound of the 90% confidence interval for the governance score","Voice and Accountability (VA)"
"GOV_WGI_VA.SC_UB","Voice and Accountability - Upper bound of the 90% confidence interval for the governance score","Voice and Accountability (VA)"
"GOV_WGI_VA.SE","Voice and Accountability - Standard error of the governance estimate","Voice and Accountability (VA)"
"GOV_WGI_VA.SR","Voice and Accountability - Number of sources","Voice and Accountability (VA)"
